uid,premise,hypothesis,label,metadata
1-neg,"The cops had him in their headlights. He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way. Winded, aching, he didn't fall on his knees in the street.",He was standing earlier.,E,"{'context1': 'The cops had him in their headlights.', 'context2': 'He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way.', 'target_sentence': ""Winded, aching, he didn't fall on his knees in the street."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'fell'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 98.11, 100.0, 93.76, 98.24]}"
1,"The cops had him in their headlights. He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way. Winded, aching, he fell on his knees in the street.",He was standing earlier.,E,"{'context1': 'The cops had him in their headlights.', 'context2': 'He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way.', 'target_sentence': 'Winded, aching, he fell on his knees in the street.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'fell'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 99.71]}"
10-neg,For three nights a comet flared through the desert sky. The winds hooted like owls. A red smudge didn't appear on the moon.,A red smudge couldn't be seen on the moon before.,E,"{'context1': 'For three nights a comet flared through the desert sky.', 'context2': 'The winds hooted like owls.', 'target_sentence': ""A red smudge didn't appear on the moon."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'appeared'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'N', 'N', 'E'], 'ratings': [100.0, 99.59, 26.99, 7.6, 83.97]}"
10,For three nights a comet flared through the desert sky. The winds hooted like owls. A red smudge appeared on the moon.,A red smudge couldn't be seen on the moon before.,E,"{'context1': 'For three nights a comet flared through the desert sky.', 'context2': 'The winds hooted like owls.', 'target_sentence': 'A red smudge appeared on the moon.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'appeared'}"", 'trigger_type': 'change_of_state', 'annotator': 'ZZ', 'nli_labels': ['E', 'E', 'N', 'E', 'N'], 'ratings': [99.28, 100.0, 4.41, 100.0, 72.21]}"
1000-neg,""" He just thinks it's so much bull--. He's not insecure in that way. We don't know who we are.",We are someone.,N,"{'context1': '"" He just thinks it\'s so much bull--.', 'context2': ""He's not insecure in that way."", 'target_sentence': ""We don't know who we are."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'who we are'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['N', 'N', 'N', 'E', 'E'], 'ratings': [46.85, 90.85, 50.0, 100.0, 100.0]}"
1000,""" He just thinks it's so much bull--. He's not insecure in that way. We know who we are.",We are someone.,E,"{'context1': '"" He just thinks it\'s so much bull--.', 'context2': ""He's not insecure in that way."", 'target_sentence': 'We know who we are.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'who we are'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'N', 'N', 'E', 'E'], 'ratings': [100.0, 51.65, 59.68, 100.0, 100.0]}"
1002-neg,You're right. You're right. I know what I was thinking.,I was thinking something.,E,"{'context1': ""You're right."", 'context2': ""You're right."", 'target_sentence': 'I know what I was thinking.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'what I was thinking'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.97, 100.0, 100.0, 100.0, 100.0]}"
1002,You're right. You're right. I don't know what I was thinking.,I was thinking something.,E,"{'context1': ""You're right."", 'context2': ""You're right."", 'target_sentence': ""I don't know what I was thinking."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'what I was thinking'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [98.41, 99.22, 34.25, 100.0, 100.0]}"
1003-neg,"""I don't watch them."" Puke. "" I know what you're missing, "" I tell him.",You are missing something.,E,"{'context1': '""I don\'t watch them.""', 'context2': 'Puke. ""', 'target_sentence': 'I know what you\'re missing, "" I tell him.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'predicate\': \'know\', \'embedded_question\': ""what you \'re missing""}', 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['N', 'E', 'E', 'E', 'E'], 'ratings': [20.7, 99.25, 98.95, 97.3, 93.69]}"
1003,"""I don't watch them."" Puke. "" I don't know what you're missing, "" I tell him.",You are missing something.,E,"{'context1': '""I don\'t watch them.""', 'context2': 'Puke. ""', 'target_sentence': 'I don\'t know what you\'re missing, "" I tell him.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'predicate\': \'know\', \'embedded_question\': ""what you \'re missing""}', 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['N', 'E', 'E', 'N', 'E'], 'ratings': [78.33, 100.0, 100.0, 82.99, 100.0]}"
1005-neg,"She was proud of that. The doors were closed. He couldn't see it and he didn't imagine how it looked, with sails like clouds, that big and white.",It looked some way.,E,"{'context1': 'She was proud of that.', 'context2': 'The doors were closed.', 'target_sentence': ""He couldn't see it and he didn't imagine how it looked, with sails like clouds, that big and white."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'imagined', 'embedded_question': 'how it looked'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [100.0, 46.4, 100.0, 98.95, 100.0]}"
